From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ABB56278.1	Q31RP1	unreviewed	Q31RP1_SYNE7	Extracellular solute-binding protein, family 3	Synpcc7942_0246	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	359
ABB56279.1	Q31RP0	unreviewed	Q31RP0_SYNE7	ABC-type permease for basic amino acids and glutamine	Synpcc7942_0247	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	377
ABB56280.1	Q31RN9	unreviewed	Q31RN9_SYNE7	Amino acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine	Synpcc7942_0248	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	396
ABB56281.1	Q31RN8	unreviewed	Q31RN8_SYNE7	ATPase	Synpcc7942_0249	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	261
ABB56282.1	Q31RN7	unreviewed	Q31RN7_SYNE7	Pentapeptide repeat	Synpcc7942_0250	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	155
ABB56283.1	Q31RN6	unreviewed	Q31RN6_SYNE7	Exonuclease	Synpcc7942_0251	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	256
ABB56284.1	Q31RN5	unreviewed	Q31RN5_SYNE7	CP12 domain-containing protein	Synpcc7942_0252	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	75
ABB56285.1	Q31RN4	unreviewed	Q31RN4_SYNE7	SHSP domain-containing protein	Synpcc7942_0253	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	152
ABB56286.1	Q31RN3	unreviewed	Q31RN3_SYNE7	DNA gyrase subunit A (EC 5.6.2.2)	gyrA Synpcc7942_0254	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	856
ABB56287.1	Q31RN2	unreviewed	Q31RN2_SYNE7	ATPase	Synpcc7942_0255	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	426
ABB56288.1	Q31RN1	unreviewed	Q31RN1_SYNE7	Peptidase M20D, amidohydrolase (EC 3.5.1.14)	Synpcc7942_0256	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	408
ABB56289.1	Q31RN0	unreviewed	Q31RN0_SYNE7	TIGR00297 family protein	Synpcc7942_0257	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	249
ABB56290.1	Q31RM9	unreviewed	Q31RM9_SYNE7	VOC domain-containing protein	Synpcc7942_0258	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	146
ABB56291.1	Q31RM8	unreviewed	Q31RM8_SYNE7	Uncharacterized protein	Synpcc7942_0259	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	110
ABB56292.1	Q31RM7	unreviewed	Q31RM7_SYNE7	ATPase	Synpcc7942_0260	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	824
ABB56293.1	Q31RM6	unreviewed	Q31RM6_SYNE7	Ribosomal-protein-alanine acetyltransferase	Synpcc7942_0261	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	199
ABB56294.1	Q31RM5	unreviewed	Q31RM5_SYNE7	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA Synpcc7942_0262	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	464
ABB56295.1	Q31RM4	unreviewed	Q31RM4_SYNE7	Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	dacA Synpcc7942_0263	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	306
ABB56296.1	Q31RM3	unreviewed	Q31RM3_SYNE7	Isoprenyl transferase (EC 2.5.1.-)	Synpcc7942_0264	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	251
ABB56297.1	Q31RM2	unreviewed	Q31RM2_SYNE7	DUF3143 domain-containing protein	Synpcc7942_0265	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	91
ABB56298.1	Q31RM1	unreviewed	Q31RM1_SYNE7	Heat shock protein DnaJ-like	Synpcc7942_0266	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	185
ABB56299.1	Q31RM0	reviewed	RSMG_SYNE7	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG Synpcc7942_0267	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	242
ABB56300.1	Q31RL9	unreviewed	Q31RL9_SYNE7	MEKHLA domain-containing protein	Synpcc7942_0268	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	160
ABB56301.1	Q31RL8	unreviewed	Q31RL8_SYNE7	AB hydrolase-1 domain-containing protein	Synpcc7942_0269	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	293
ABB56302.1	P42460	reviewed	Y270_SYNE7	TPR repeat-containing protein Synpcc7942_0270	Synpcc7942_0270	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	403
ABB56303.1	P42451	reviewed	SUMT_SYNE7	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (S-adenosyl-L-methionine:uroporphyrinogen III methyltransferase) (SUMT) (Uroporphyrinogen III methylase) (UROM)	cobA Synpcc7942_0271	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	243
ABB56304.1	P42452	reviewed	HEM4_SYNE7	Uroporphyrinogen-III synthase (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	hemD Synpcc7942_0272	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	264
ABB56305.1	Q31RL4	reviewed	COAE_SYNE7	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE Synpcc7942_0273	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	209
ABB56306.1	Q31RL3	unreviewed	Q31RL3_SYNE7	Polymerase nucleotidyl transferase domain-containing protein	Synpcc7942_0274	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	112
ABB56307.1	Q31RL2	unreviewed	Q31RL2_SYNE7	DUF86 domain-containing protein	Synpcc7942_0275	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	110
ABB56308.1	Q31RL1	unreviewed	Q31RL1_SYNE7	Glycolate oxidase subunit GlcD	Synpcc7942_0276	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	490
ABB56309.1	Q31RL0	reviewed	DNLJ_SYNE7	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA Synpcc7942_0277	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	679
ABB56310.1	Q31RK9	unreviewed	Q31RK9_SYNE7	NADH:ubiquinone oxidoreductase 24 kD subunit-like	Synpcc7942_0278	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	165
ABB56311.1	Q31RK8	unreviewed	Q31RK8_SYNE7	NADH dehydrogenase (Quinone) (EC 1.6.5.11)	Synpcc7942_0279	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	534
ABB56312.1	Q31RK7	reviewed	CINAL_SYNE7	CinA-like protein	Synpcc7942_0280	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	421
ABB56313.1	Q31RK6	unreviewed	Q31RK6_SYNE7	Probable glycosyltransferase	Synpcc7942_0281	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	357
ABB56314.1	Q31RK5	reviewed	GLYA_SYNE7	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA Synpcc7942_0282	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	427
ABB56315.1	Q31RK4	unreviewed	Q31RK4_SYNE7	tRNA-dihydrouridine synthase (EC 1.3.1.-)	Synpcc7942_0283	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	334
ABB56316.1	Q31RK3	reviewed	CCMK3_SYNE7	Carboxysome shell protein CcmK3 (Carbon dioxide-concentrating mechanism protein CcmK3)	ccmK3 Synpcc7942_0284	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	102
ABB56317.1	Q31RK2	reviewed	CCMK4_SYNE7	Carboxysome shell protein CcmK4 (Carbon dioxide-concentrating mechanism protein CcmK4)	ccmK4 Synpcc7942_0285	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	113
ABB56318.1	Q31RK1	unreviewed	Q31RK1_SYNE7	DUF1823 domain-containing protein	Synpcc7942_0286	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	120
ABB56319.1	Q31RK0	unreviewed	Q31RK0_SYNE7	Ion transport domain-containing protein	Synpcc7942_0287	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	231
ABB56320.1	Q31RJ9	reviewed	GLMU_SYNE7	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU Synpcc7942_0288	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	452
ABB56321.1	Q55357	reviewed	SECA_SYNE7	Protein translocase subunit SecA (EC 7.4.2.8)	secA Synpcc7942_0289	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	948
ABB56322.1	Q31RJ7	reviewed	PYRD_SYNE7	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD Synpcc7942_0290	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	378
ABB56323.1	Q31RJ6	unreviewed	Q31RJ6_SYNE7	DUF2555 domain-containing protein	Synpcc7942_0291	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	72
ABB56324.1	Q31RJ5	unreviewed	Q31RJ5_SYNE7	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC Synpcc7942_0292	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	408
ABB56325.1	Q31RJ4	unreviewed	Q31RJ4_SYNE7	Uncharacterized protein	Synpcc7942_0293	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	112
ABB56326.1	P11472	reviewed	PSBO_SYNE7	Photosystem II manganese-stabilizing polypeptide (MSP)	psbO woxA Synpcc7942_0294	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	277
ABB56327.1	Q31RJ2	reviewed	SAT_SYNE7	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	sat Synpcc7942_0295	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	395
ABB56328.1	Q31RJ1	unreviewed	Q31RJ1_SYNE7	Peptidase C14 caspase domain-containing protein	Synpcc7942_0296	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	671
ABB56329.1	Q31RJ0	unreviewed	Q31RJ0_SYNE7	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH Synpcc7942_0297	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	613
ABB56330.1	Q31RI9	unreviewed	Q31RI9_SYNE7	Rod shape-determining protein MreD	Synpcc7942_0298	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	215
ABB56331.1	Q31RI8	unreviewed	Q31RI8_SYNE7	Cell shape-determining protein MreC (Cell shape protein MreC)	Synpcc7942_0299	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	249
ABB56332.1	Q31RI7	unreviewed	Q31RI7_SYNE7	Cell shape-determining protein MreB	mreB Synpcc7942_0300	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	345
ABB56333.1	Q31RI6	unreviewed	Q31RI6_SYNE7	Single-stranded DNA-binding protein (SSB)	Synpcc7942_0301	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	120
ABB56334.1	Q31RI5	unreviewed	Q31RI5_SYNE7	Phospholipase D/Transphosphatidylase	Synpcc7942_0302	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	479
ABB56335.1	Q31RI4	unreviewed	Q31RI4_SYNE7	Response regulator receiver domain protein (CheY-like)	Synpcc7942_0303	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	384
ABB56336.1	Q31RI3	unreviewed	Q31RI3_SYNE7	Plastoquinone biosynthesis coenzyme/ Coq4 family protein	Synpcc7942_0304	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	215
ABB56337.1	Q31RI2	unreviewed	Q31RI2_SYNE7	Addiction module component	Synpcc7942_0305	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	76
ABB56338.1	Q31RI1	unreviewed	Q31RI1_SYNE7	Uncharacterized protein	Synpcc7942_0306	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	102
ABB56339.1	Q8VPV2	unreviewed	Q8VPV2_SYNE7	Na+/H+ antiporter (NapA)	napA Synpcc7942_0307	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	408
ABB56340.1	Q8VPV3	unreviewed	Q8VPV3_SYNE7	CO2 hydration protein	chpX Synpcc7942_0308	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	379
ABB56341.1	Q8VPV4	unreviewed	Q8VPV4_SYNE7	NAD(P)H dehydrogenase, subunit NdhF3 family (EC 1.6.5.11) (NADPH dehydrogenase subunit 5)	ndhF4 Synpcc7942_0309	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	634
ABB56342.1	Q31RH7	reviewed	ISPE_SYNE7	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE Synpcc7942_0310	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	314
ABB56343.1	Q31RH6	reviewed	RSMA_SYNE7	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA Synpcc7942_0311	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	279
ABB56344.1	Q31RH5	reviewed	Y312_SYNE7	UPF0102 protein Synpcc7942_0312	Synpcc7942_0312	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	142
ABB56345.1	Q31RH4	unreviewed	Q31RH4_SYNE7	Pentapeptide repeat	Synpcc7942_0313	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	170
ABB56346.1	Q31RH3	unreviewed	Q31RH3_SYNE7	Succinate dehydrogenase subunit C (EC 1.3.5.1)	Synpcc7942_0314	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	209
ABB56347.1	Q31RH2	unreviewed	Q31RH2_SYNE7	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	Synpcc7942_0315	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	431
ABB56348.1	Q31RH1	unreviewed	Q31RH1_SYNE7	Uncharacterized protein	Synpcc7942_0316	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	63
ABB56349.1	Q31RH0	unreviewed	Q31RH0_SYNE7	Uncharacterized protein	Synpcc7942_0317	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	152
ABB56350.1	Q31RG9	unreviewed	Q31RG9_SYNE7	Uncharacterized protein	Synpcc7942_0318	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	151
ABB56351.1	Q31RG8	unreviewed	Q31RG8_SYNE7	Hemolysin A	Synpcc7942_0319	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	272
ABB56352.1	Q31RG7	unreviewed	Q31RG7_SYNE7	UDP-glucose 4-epimerase (EC 5.1.3.2)	Synpcc7942_0320	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	332
ABB56353.1	P0A3F4	reviewed	GLNB_SYNE7	Nitrogen regulatory protein P-II (PII signal transducing protein)	glnB Synpcc7942_0321	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	112
ABB56354.1	Q31RG5	reviewed	CCS1_SYNE7	Cytochrome c biogenesis protein CcsB	ccsB ccs1 Synpcc7942_0322	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	456
ABB56355.1	Q31RG4	unreviewed	Q31RG4_SYNE7	Cytochrome c biogenesis protein-like	Synpcc7942_0323	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	252
ABB56356.1	Q31RG3	unreviewed	Q31RG3_SYNE7	Cell division protein FtsW	Synpcc7942_0324	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	394
ABB56357.1	Q31RG2	unreviewed	Q31RG2_SYNE7	Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	Synpcc7942_0325	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	67
ABB56358.1	Q31RG1	unreviewed	Q31RG1_SYNE7	Allophycocyanin, beta subunit	Synpcc7942_0326	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	161
ABB56359.1	Q31RG0	unreviewed	Q31RG0_SYNE7	Allophycocyanin alpha chain	Synpcc7942_0327	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	161
ABB56360.1	Q31RF9	unreviewed	Q31RF9_SYNE7	Phycobiliprotein ApcE	Synpcc7942_0328	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	705
ABB56361.1	Q31RF8	unreviewed	Q31RF8_SYNE7	Methyltransferase domain-containing protein	Synpcc7942_0329	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	414
ABB56362.1	Q31RF7	unreviewed	Q31RF7_SYNE7	ATP synthase subunit I	Synpcc7942_0330	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	168
ABB56363.1	Q31RF6	reviewed	ATP6_SYNE7	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB atpI Synpcc7942_0331	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	249
ABB56364.1	Q31RF5	reviewed	ATPL_SYNE7	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE atpH Synpcc7942_0332	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	81
ABB56365.1	Q31RF4	reviewed	ATPF2_SYNE7	ATP synthase subunit b' (ATP synthase F(0) sector subunit b') (ATPase subunit II) (F-type ATPase subunit b') (F-ATPase subunit b')	atpF2 atpG Synpcc7942_0333	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	158
ABB56366.1	Q31RF3	reviewed	ATPF_SYNE7	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF Synpcc7942_0334	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	171
ABB56367.1	Q31RF2	reviewed	ATPD_SYNE7	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH atpD Synpcc7942_0335	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	180
ABB56368.1	Q31RF1	reviewed	ATPA_SYNE7	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA Synpcc7942_0336	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	505
ABB56369.1	Q31RF0	reviewed	ATPG_SYNE7	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG atpC Synpcc7942_0337	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	316
ABB56370.1	Q31RE9	unreviewed	Q31RE9_SYNE7	Ferredoxin (2Fe-2S)	Synpcc7942_0338	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	105
ABB56371.1	Q31RE8	unreviewed	Q31RE8_SYNE7	DUF3326 domain-containing protein	Synpcc7942_0339	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	359
ABB56372.1	Q31RE7	unreviewed	Q31RE7_SYNE7	Abortive infection protein	Synpcc7942_0340	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	193
ABB56373.1	Q31RE6	unreviewed	Q31RE6_SYNE7	Plastid lipid-associated protein/fibrillin conserved domain-containing protein	Synpcc7942_0341	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	190
ABB56374.1	Q31RE5	unreviewed	Q31RE5_SYNE7	Uncharacterized protein	Synpcc7942_0342	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	75
ABB56375.1	Q31RE4	unreviewed	Q31RE4_SYNE7	Photosystem II lipoprotein Psb27 (Photosystem II 11 kDa protein)	psb27 Synpcc7942_0343	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	133
ABB56376.1	Q31RE3	unreviewed	Q31RE3_SYNE7	Probable peptidase	Synpcc7942_0344	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	347
ABB56377.1	Q31RE2	unreviewed	Q31RE2_SYNE7	Biotin--acetyl-CoA-carboxylase ligase	Synpcc7942_0345	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	256
ABB56378.1	Q31RE1	unreviewed	Q31RE1_SYNE7	Purine nucleoside phosphorylase	Synpcc7942_0346	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	259
ABB56379.1	Q31RE0	unreviewed	Q31RE0_SYNE7	30S ribosomal protein S20	Synpcc7942_0347	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	54
ABB56380.1	Q31RD9	reviewed	RECA_SYNE7	Protein RecA (Recombinase A)	recA Synpcc7942_0348	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	356
ABB56381.1	Q31RD8	unreviewed	Q31RD8_SYNE7	DUF3611 family protein	Synpcc7942_0349	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	186
ABB56382.1	Q31RD7	unreviewed	Q31RD7_SYNE7	ATPase	Synpcc7942_0350	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	292
ABB56383.1	Q31RD6	unreviewed	Q31RD6_SYNE7	ABC transport system substrate-binding protein	Synpcc7942_0351	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	377
ABB56384.1	Q31RD5	unreviewed	Q31RD5_SYNE7	peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	Synpcc7942_0352	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	202
ABB56385.1	Q31RD4	unreviewed	Q31RD4_SYNE7	Na+-dependent transporter-like	Synpcc7942_0353	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	320
ABB56386.1	Q31RD3	unreviewed	Q31RD3_SYNE7	Beta-glucosidase-related glycosidases-like	Synpcc7942_0354	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	542
