Experiment,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,R1,R2,Swift,publication,biosample_strain,biosample_genotype,project,condition,reference_condition,post_induction_time,strain_description,base_media,carbon_source,carbon_ml/min,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,entrainment,post_entrainment_condition,growth_phase,OD_wavelength,OD,fluorescent light,light_flux_umol/m2/s,skip,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation
SRX2356921,SRR5031872,2017-02-15 16:19:00,2016-11-17 16:06:46,9558398,477919900,0,50,306,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031872.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805781,SAMN06033599,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395368,,,,,,,no,,,,,GEO,SRA495832,,public,5FF3BC53462E0CC7A6ADCC85534AF74F,778F8E52BDD4D6DE09C9B78853926404,,,,28430105,PCC 7942,"""clock rescue""",rpaA,wt_3dawn_005,wt_1dusk_000,5m post dawn,"P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,12 hr two dark/light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356922,SRR5031873,2017-02-15 16:19:00,2016-11-17 16:07:52,12383206,619160300,0,50,393,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031873.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805782,SAMN06033598,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395369,,,,,,,no,,,,,GEO,SRA495832,,public,1584185084DDE9D2F962B655208E077F,CF0343BC4DDE4B3700588EB5670C2AFC,,,,28430105,PCC 7942,"""clock rescue""",rpaA,wt_3dawn_015,wt_1dusk_000,15m post dawn,"P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,12 hr two dark/light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356923,SRR5031874,2017-02-15 16:19:00,2016-11-17 16:07:52,11502466,575123300,0,50,364,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031874.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805783,SAMN06033597,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395370,,,,,,,no,,,,,GEO,SRA495832,,public,FE3FA1FE7285854F7CD3C7430E094290,DC03633FCE9D83E4FFA07C2E2C199D89,,,,28430105,PCC 7942,"""clock rescue""",rpaA,wt_3dawn_030,wt_1dusk_000,30m post dawn,"P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,12 hr two dark/light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356924,SRR5031875,2017-02-15 16:19:00,2016-11-17 16:07:24,11375156,568757800,0,50,375,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031875.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805784,SAMN06033596,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395371,,,,,,,no,,,,,GEO,SRA495832,,public,E66807251F7DFBC900DCF7375CD825EB,CA210CCD97C2EC7512FA75475BEF94EC,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_1dusk_000,wt_1dusk_000,ZT = 12h,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356925,SRR5031876,2017-02-15 16:19:00,2016-11-17 16:07:05,11218501,560925050,0,50,370,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031876.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805785,SAMN06033595,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395372,,,,,,,no,,,,,GEO,SRA495832,,public,717394E8E5DC761C576865CBA7665C3A,EDFDA43CDB997509212D00235756A98E,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_005,wt_1dusk_000,5m post dusk,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356926,SRR5031877,2017-02-15 16:19:00,2016-11-17 16:07:37,14299063,714953150,0,50,471,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031877.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805786,SAMN06033594,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395373,,,,,,,no,,,,,GEO,SRA495832,,public,C3E8F55BA24A1FAE30DF23B4226E72E6,FF95698AE39BD6D18132777D7147E3A7,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_015,wt_1dusk_000,15m post dusk,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356927,SRR5031878,2017-02-15 16:19:00,2016-11-17 16:07:47,11509315,575465750,0,50,380,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031878.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805787,SAMN06033593,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395374,,,,,,,no,,,,,GEO,SRA495832,,public,C24BBDD0E27DAC9BF17DC800A0334360,DAC1CE89F64CB8B0EDA181B9F3622B3E,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_030,wt_1dusk_000,30m post dusk,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356928,SRR5031879,2017-02-15 16:19:01,2016-11-17 16:07:36,13139020,656951000,0,50,432,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/031/SRR5031879/SRR5031879.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805788,SAMN06033592,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395375,,,,,,,no,,,,,GEO,SRA495832,,public,E3BEECBF9B73946435D0A8F468AA8B1D,86C4035C30CFB3E4049B986C499C0C41,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_060,wt_1dusk_000,1h post dusk,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356929,SRR5031880,2017-02-15 16:19:01,2016-11-17 16:07:46,15189499,759474950,0,50,499,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/031/SRR5031880/SRR5031880.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805789,SAMN06033591,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395376,,,,,,,no,,,,,GEO,SRA495832,,public,FA4B29C9DCC6B442C2FB4E26A61E342F,812BD17C5A77CE42EBBAC585B6A06E3C,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_120,wt_1dusk_000,2h post dusk,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356933,SRR5031884,2017-02-15 16:19:01,2016-11-17 16:09:16,16305249,815262450,0,50,541,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/031/SRR5031884/SRR5031884.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805793,SAMN06033587,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395380,,,,,,,no,,,,,GEO,SRA495832,,public,094AEEDBA0F9B5FB1F94C88130BE7208,72AB4803916B50F22FE73564CD59630B,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_3dawn_005,wt_1dusk_000,5m post dawn,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356934,SRR5031885,2017-02-15 16:19:01,2016-11-17 16:08:31,15476359,773817950,0,50,513,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/031/SRR5031885/SRR5031885.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805794,SAMN06033586,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395381,,,,,,,no,,,,,GEO,SRA495832,,public,15AB95A5FFF4E3EC316A265BE300B9C1,28E60A56AD0B4232F55F4617FB34E92E,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_3dawn_015,wt_1dusk_000,15m post dawn,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX2356935,SRR5031886,2017-02-15 16:19:01,2016-11-17 16:07:20,10717554,535877700,0,50,353,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/031/SRR5031886.sralite.1,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093663,PRJNA354335,2,354335,SRS1805795,SAMN06033585,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM2395382,,,,,,,no,,,,,GEO,SRA495832,,public,B1E825F00412C1A72B9941FC50C8FA9E,37E7E6E9C12DACA1F6A2710BAEB386B2,,,,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_3dawn_030,wt_1dusk_000,30m post dawn,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,0.4% glucose,,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,12 hr one light/dark cycles,darkness,,750,0.2,cool,40,,True,True,True
SRX259777,SRR807396,2015-07-22 17:03:15,2015-11-15 04:56:56,40069177,4046986877,0,101,2700,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807396/SRR807396.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408053,SAMN01999000,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113860,,,,,,,no,,,,,GEO,SRA072537,,public,C0802B74C138BE260BC617E872245BB5,19B48216AF727C33C25988FAF2259A9E,,,,23919451,PCC 7942,WT,FFA,wt_100h,wt_100h,100h,wild type,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259778,SRR807397,2015-07-22 17:03:15,2015-11-15 04:49:25,26825475,2709372975,0,101,1817,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807397/SRR807397.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408054,SAMN01999001,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113861,,,,,,,no,,,,,GEO,SRA072537,,public,1410D89753A6C18FCB71C8E3D0ACFBB4,AE909962B56EF3087B7322F7EB5BE621,,,,23919451,PCC 7942,WT,FFA,wt_100h,wt_100h,100h,wild type,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259779,SRR807398,2015-07-22 17:03:15,2015-11-15 04:47:35,28738610,2902599610,0,101,1956,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807398/SRR807398.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408055,SAMN01999002,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113862,,,,,,,no,,,,,GEO,SRA072537,,public,D124C60B6E378D147499A454CCC8DA1B,04D891F91B24CE3401F363B409409876,,,,23919451,PCC 7942,WT,FFA,wt_100h,wt_100h,100h,wild type,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259780,SRR807399,2015-07-22 17:03:15,2015-11-15 04:42:38,31569624,3188532024,0,101,2133,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807399/SRR807399.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408056,SAMN01999003,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113863,,,,,,,no,,,,,GEO,SRA072537,,public,CB4BDE3C00C1A4F69BF055BDD6F277CF,8F907B8ACDF9E5E9B25A0700AE736343,,,,23919451,PCC 7942,WT,FFA,wt_240h,wt_100h,240h,wild type,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259781,SRR807400,2015-07-22 17:03:15,2015-11-15 04:37:17,16552481,1671800581,0,101,1115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807400/SRR807400.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408057,SAMN01999004,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113864,,,,,,,no,,,,,GEO,SRA072537,,public,D09813540FA7122A521D9FD8279DA065,32323E82BE426321305B581D2627BF22,,,,23919451,PCC 7942,WT,FFA,wt_240h,wt_100h,240h,wild type,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259782,SRR807401,2015-07-22 17:03:15,2015-11-15 04:35:41,16165712,1632736912,0,101,1091,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807401/SRR807401.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408058,SAMN01999005,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113865,,,,,,,no,,,,,GEO,SRA072537,,public,D032691F1FA9E5B64DB9DF2421AE93FC,E8E2E8963C29FA28105100A8D45EB420,,,,23919451,PCC 7942,WT,FFA,wt_240h,wt_100h,240h,wild type,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259783,SRR807402,2015-07-22 17:03:15,2015-11-15 04:36:53,31519820,3183501820,0,101,2101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807402/SRR807402.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408059,SAMN01999006,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113866,,,,,,,no,,,,,GEO,SRA072537,,public,F903050CA356F5643A28CF225CF74FBA,500C227AA07A855E5C9D33D780D8A85D,,,,23919451,SE01,delta-aas,FFA,del_aas_100h,wt_100h,100h,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259784,SRR807403,2015-07-22 17:03:15,2015-11-15 04:30:37,21995675,2221563175,0,101,1463,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807403/SRR807403.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408060,SAMN01999007,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113867,,,,,,,no,,,,,GEO,SRA072537,,public,E8A849B8DC6D9FA906C62AF082C34F19,6D810EF5207317E5449BC8BFE3F7766B,,,,23919451,SE01,delta-aas,FFA,del_aas_100h,wt_100h,100h,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259785,SRR807404,2015-07-22 17:03:15,2015-11-15 04:29:45,26841587,2711000287,0,101,1795,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807404/SRR807404.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408061,SAMN01999008,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113868,,,,,,,no,,,,,GEO,SRA072537,,public,F72002D1E97CCD7C9418CE4D0F467AB8,092428C4F85C62C3C58A265AA329AF8B,,,,23919451,SE01,delta-aas,FFA,del_aas_100h,wt_100h,100h,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259786,SRR807405,2015-07-22 17:03:15,2015-11-15 04:31:48,74021944,7476216344,0,101,4832,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807405/SRR807405.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408062,SAMN01999009,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113869,,,,,,,no,,,,,GEO,SRA072537,,public,38912ADBF41B42785CA04D3BE25F5F13,662F5CA134DED60AD987769CC4228346,,,,23919451,SE01,delta-aas,FFA,del_aas_240h,wt_100h,240h,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259787,SRR807406,2015-07-22 17:03:15,2015-11-15 04:21:25,46857767,4732634467,0,101,3135,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807406/SRR807406.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408063,SAMN01999010,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113870,,,,,,,no,,,,,GEO,SRA072537,,public,CCAD236A81358068AC7388D5B33B8B1D,27D650B24FADEF720BEC757D2154736A,,,,23919451,SE01,delta-aas,FFA,del_aas_240h,wt_100h,240h,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259788,SRR807407,2015-07-22 17:03:15,2015-11-15 04:19:20,60204551,6080659651,0,101,3972,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807407/SRR807407.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408064,SAMN01999011,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113871,,,,,,,no,,,,,GEO,SRA072537,,public,1BE9D902EAFC928F7D5F66763A39C3BC,448C19722E703E85FB3C1022435719DA,,,,23919451,SE01,delta-aas,FFA,del_aas_240h,wt_100h,240h,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259790,SRR807409,2015-07-22 17:03:15,2015-11-15 04:01:35,11325835,1143909335,0,101,744,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807409/SRR807409.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408066,SAMN01999013,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113873,,,,,,,no,,,,,GEO,SRA072537,,public,445A19795D94E380A8EE7E8891B4F5A2,0EB07368BA3180F339DE93B6D20456EA,,,,23919451,SE02,"delta-aas, 'tesA",FFA,del_ass_tesA_100h,wt_100h,100h,mutant_del_aas(acyl-ACP Synthase)_add_thioesterase,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259791,SRR807410,2015-07-22 17:03:15,2015-11-15 04:04:57,33450692,3378519892,0,101,2198,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807410/SRR807410.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408067,SAMN01999014,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113874,,,,,,,no,,,,,GEO,SRA072537,,public,CA7335196FFDEFF58E04FA97EE6590D0,947D425CA344E007551E1B158FCF6C1A,,,,23919451,SE02,"delta-aas, 'tesA",FFA,del_ass_tesA_240h,wt_100h,240h,mutant_del_aas(acyl-ACP Synthase)_add_thioesterase,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
SRX259792,SRR807411,2015-07-22 17:03:15,2015-11-15 03:57:41,18703355,1889038855,0,101,1198,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/807/SRR807411/SRR807411.2,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP020509,PRJNA196229,2,196229,SRS408068,SAMN01999015,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM1113875,,,,,,,no,,,,,GEO,SRA072537,,public,770E8AC5C9843AA9DAC6481A83E5F1F3,AD6833264612D8593BA393D5182940E6,,,,23919451,SE02,"delta-aas, 'tesA",FFA,del_ass_tesA_240h,wt_100h,240h,mutant_del_aas(acyl-ACP Synthase)_add_thioesterase,solid BG-11/agar,CO2,1.00%,FeNH4 citrate,0.1M IPTG,aerobic,spectinomycin dihydrochloride pentahydrate; kanamycin monosulfate,1 mM sodium thiosulfate,30 C,Not reported,Not reported,,730,0.15,cool white; plant,60,,True,True,True
