Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX15590316	SRR19538255	2022-06-06 13:09:15	2022-06-06 13:02:18	6655283	665528300	0	100	386		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538255/SRR19538255.lite.1	GSM6212736	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292338	SAMN28860380	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212736							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	1160CAF3C815642129EDE7861981C22B	7C4AF140F969A9138DE0BBA5E4B74E1C		
SRX15590317	SRR19538254	2022-06-06 13:09:15	2022-06-06 13:02:52	7283463	728346300	0	100	424		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538254/SRR19538254.lite.1	GSM6212737	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292339	SAMN28860379	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212737							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	43A11E902667AF39E8D4100D304A9DFB	045F3CE5F498A503BFFDD75BC54CE2B8		
SRX15590318	SRR19538253	2022-06-06 13:09:15	2022-06-06 13:03:14	7090785	709078500	0	100	415		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538253/SRR19538253.lite.1	GSM6212738	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292340	SAMN28860378	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212738							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	F51678726766879D042AF2AA950BD5AE	43FB19B67FC1B3DDB3CC18A82A2BE31D		
SRX15590319	SRR19538252	2022-06-06 13:09:15	2022-06-06 13:03:12	7074859	707485900	0	100	412		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538252/SRR19538252.lite.1	GSM6212739	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529	SRS13292341	SAMN28860377	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212739							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	CD20451C3F59157BC44BFEE3673F04BF	F72F82EB35AFAC96EEC67BCE964AB3D9		
SRX15947806	SRR19905021	2022-11-04 14:55:57	2022-06-29 23:20:08	9537648	972840096	9537648	102	285		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905021/SRR19905021.lite.1	PAL60_15m_UV_R1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634671	SAMN29425846	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL60_15m_UV_R1							no					UCSD	SRA1446442		public	5247DE4724E87E3A2BF1C4934B4C3BC8	AEDF5678E539624BCAB6437D29B3ADA9		
SRX15947807	SRR19905020	2022-11-04 14:55:57	2022-06-29 23:20:51	12780501	1303611102	12780501	102	393		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19905/SRR19905020/SRR19905020.lite.1	PAL61_15m_C_R1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634672	SAMN29425847	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL61_15m_C_R1							no					UCSD	SRA1446442		public	4BAB76E5B3BB01E417233B15BF262DEC	0960C04A4C980AAE2B1C28B1FA0A7FEA		
SRX15947808	SRR19905019	2022-11-04 14:55:57	2022-06-29 23:20:40	12616750	1286908500	12616750	102	380		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19905/SRR19905019/SRR19905019.lite.1	PAL62_15m_UV_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634673	SAMN29425848	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL62_15m_UV_R2							no					UCSD	SRA1446442		public	30742B24ED5E9A7DCD4BF8EEEB5644F1	492FADD2EC0D11F4A3D36C9A52EF1E67		
SRX15947809	SRR19905018	2022-11-04 14:55:57	2022-06-29 23:18:52	9087374	926912148	9087374	102	273		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19905/SRR19905018/SRR19905018.lite.1	PAL63_15m_C_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634674	SAMN29425849	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL63_15m_C_R2							no					UCSD	SRA1446442		public	4D5B000706BB0501A421105EFD3FBBA9	8E645105B90412FB8AFD37F3422BDC64		
SRX15947810	SRR19905017	2022-11-04 14:55:57	2022-06-29 23:20:20	11349970	1157696940	11349970	102	341		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905017/SRR19905017.lite.1	PAL64_15m_UV_R3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634675	SAMN29425850	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL64_15m_UV_R3							no					UCSD	SRA1446442		public	E6342016B4FBE88D151F1DE6314B05F6	53BACADBCA1367A6E529D644F6530D39		
SRX15947812	SRR19905015	2022-11-04 14:55:57	2022-06-29 23:19:47	11690204	1192400808	11690204	102	353		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905015/SRR19905015.lite.1	PAL65_15m_C_R3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634677	SAMN29425851	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL65_15m_C_R3							no					UCSD	SRA1446442		public	EDBE390B143D03A397D8387C2770825D	422FACB9652E6F8774B7548EA7699C42		
SRX15947813	SRR19905014	2022-11-04 14:55:57	2022-06-29 23:19:10	10203070	1040713140	10203070	102	308		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905014/SRR19905014.lite.1	PAL66_2h_C_R1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634678	SAMN29425852	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL66_2h_C_R1							no					UCSD	SRA1446442		public	613541A64EAA57B8E8E824D9E262B237	5D9663B6792F2E5C47157A9E1CD30CB0		
SRX15947814	SRR19905013	2022-11-04 14:55:57	2022-06-29 23:18:15	9519981	971038062	9519981	102	288		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905013/SRR19905013.lite.1	PAL67_2h_C_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634679	SAMN29425853	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL67_2h_C_R2							no					UCSD	SRA1446442		public	39674E6C4CC1715289F935110CFE816A	C0935AB1F53D753FC85CD967CAD31D21		
SRX15947815	SRR19905012	2022-11-04 14:55:57	2022-06-29 23:18:16	8803111	897917322	8803111	102	270		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19905/SRR19905012/SRR19905012.lite.1	PAL68_2h_UV_R1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634680	SAMN29425854	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL68_2h_UV_R1							no					UCSD	SRA1446442		public	A34A179AF02F220466441F9E5BB31635	8C26FF77E612140171FE6100ADCA01E1		
SRX15947816	SRR19905011	2022-11-04 14:55:57	2022-06-29 23:19:34	9875635	1007314770	9875635	102	300		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905011/SRR19905011.lite.1	PAL70_2h_UV_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269	SRS13634681	SAMN29425855	simple	1140	Synechococcus elongatus PCC 7942 = FACHB-805	PAL70_2h_UV_R2							no					UCSD	SRA1446442		public	4D6498A0A06C09957446994B2F459FD6	A59F1AF2E488ED238DDC81DD51838CA3		
