Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	Swift	publication	biosample_strain	biosample_genotype	project	condition	reference_condition	post_induction_time	strain_description	base_media	carbon_source	carbon_ml/min	nitrogen_source	inducer_agent	aerobicity	inoculation	supplement	temperature	entrainment	post_entrainment_condition	growth_phase	OD_wavelength	OD	fluorescent light	intensity	light_flux_umol/m2/s	skip	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
SRX15630037	SRR19578229	2023-02-09 02:22:41	2022-06-08 10:20:14	3858658.0	1157597400.0	3858658.0	300.0	350.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578229/SRR19578229.lite.1	NC2_HTL1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329979	SAMN28911402	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	NC2_HTL1							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	6F38F27CEA12788A48761BD21567F6C9	15A38C8B9E6A8EB525DCC76263EF2BCF				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	HS199	HLHT	NC2_HLHT	WT_NLNT		NC2-1 mutation	BG-11	CO2				aerobic			42C			log	730.0	0.05	white		2000		True	True	True	HLHT:NC2_HLHT	True
SRX15630038	SRR19578228	2023-02-09 02:22:41	2022-06-08 10:19:46	3992714.0	1197814200.0	3992714.0	300.0	363.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578228/SRR19578228.lite.1	NC2_HTL2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329980	SAMN28911403	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	NC2_HTL2							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	E8803C8A9B2F5DAB0110A732782CC3C8	865B997AA3632BA7B404F70A1AB8291A				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	HS199	HLHT	NC2_HLHT	WT_NLNT		NC2-1 mutation	BG-11	CO2				aerobic			42C			log	730.0	0.05	white		2000		True	True	True	HLHT:NC2_HLHT	True
SRX15630039	SRR19578227	2023-02-09 02:22:41	2022-06-08 10:19:52	3819826.0	1145947800.0	3819826.0	300.0	342.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19578/SRR19578227/SRR19578227.lite.1	WT_NTL2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329981	SAMN28911412	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	WT_NTL2							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	85831ECDF17BEC25D31DD81AC905B388	DF20A8B4DD8639275F1ABF6CB18FC496				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	WT	HLHT	WT_NLNT	WT_NLNT		WT	BG-11	CO2				aerobic			30C			log	730.0	0.05	white		500		True	True	True	HLHT:WT_NLNT	True
SRX15630040	SRR19578226	2023-02-09 02:22:41	2022-06-08 10:20:44	4351767.0	1305530100.0	4351767.0	300.0	409.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19578/SRR19578226/SRR19578226.lite.1	WT_NTL3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329982	SAMN28911413	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	WT_NTL3							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	CB38C3739E5B787252FE8AAB8178B4B7	465C63C3AF1B8D86FF53D33091728B26				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	WT	HLHT	WT_NLNT	WT_NLNT		WT	BG-11	CO2				aerobic			30C			log	730.0	0.05	white		500		True	True	True	HLHT:WT_NLNT	True
SRX15630041	SRR19578225	2023-02-09 02:22:41	2022-06-08 10:19:47	3866739.0	1160021700.0	3866739.0	300.0	354.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578225/SRR19578225.lite.1	NC2_HTL3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329983	SAMN28911404	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	NC2_HTL3							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	72F4B56A40D2D25D74DA5F1CE71804B4	D50D9089073F390384D8C2523F88B201				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	HS199	HLHT	NC2_HLHT	WT_NLNT		NC2-1 mutation	BG-11	CO2				aerobic			42C			log	730.0	0.05	white		2000		True	True	True	HLHT:NC2_HLHT	True
SRX15630042	SRR19578224	2023-02-09 02:22:41	2022-06-08 10:22:18	3911455.0	1173436500.0	3911455.0	300.0	360.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578224/SRR19578224.lite.1	NC2_NTL1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329984	SAMN28911405	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	NC2_NTL1							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	0B25C32269D29C7795F1F110C6991911	073F907F5BA91AB1F694DEB988E8F098				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	HS199	HLHT	NC2_NLNT	WT_NLNT		NC2-1 mutation	BG-11	CO2				aerobic			30C			log	730.0	0.05	white		500		True	True	True	HLHT:NC2_NLNT	True
SRX15630043	SRR19578223	2023-02-09 02:22:41	2022-06-08 10:20:29	4437586.0	1331275800.0	4437586.0	300.0	407.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578223/SRR19578223.lite.1	NC2_NTL2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329985	SAMN28911406	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	NC2_NTL2							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	F46A60A9E4345DF629F47DECA7634264	BC0EF2F87563408C0278D66414061F8E				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	HS199	HLHT	NC2_NLNT	WT_NLNT		NC2-1 mutation	BG-11	CO2				aerobic			30C			log	730.0	0.05	white		500		True	True	True	HLHT:NC2_NLNT	True
SRX15630044	SRR19578222	2023-02-09 02:22:41	2022-06-08 10:19:48	3860053.0	1158015900.0	3860053.0	300.0	360.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19578/SRR19578222/SRR19578222.lite.1	NC2_NTL3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329986	SAMN28911407	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	NC2_NTL3							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	F57D89280DA480E69290FCBB8FEB465E	9883D3355BE29B89E8A7103B2B1CA5A3				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	HS199	HLHT	NC2_NLNT	WT_NLNT		NC2-1 mutation	BG-11	CO2				aerobic			30C			log	730.0	0.05	white		500		True	True	True	HLHT:NC2_NLNT	True
SRX15630045	SRR19578221	2023-02-09 02:22:41	2022-06-08 10:20:52	3686483.0	1105944900.0	3686483.0	300.0	329.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578221/SRR19578221.lite.1	WT_HTL1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329987	SAMN28911408	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	WT_HTL1							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	C72144795AA10B1EAF723C92476AB3BA	0BFC99D1EEE71EB4A9EC7AA312A60ADC				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	WT	HLHT	WT_HLHT	WT_NLNT		WT	BG-11	CO2				aerobic			42C			log	730.0	0.05	white		2000		True	True	True	HLHT:WT_HLHT	True
SRX15630046	SRR19578220	2023-02-09 02:22:41	2022-06-08 10:19:49	3954824.0	1186447200.0	3954824.0	300.0	358.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19578/SRR19578220/SRR19578220.lite.1	WT_HTL2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329988	SAMN28911409	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	WT_HTL2							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	A26AF0E5C63E02475260842FF58D6E0E	41FFE5B18064470DBD0764C8435AD37A				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	WT	HLHT	WT_HLHT	WT_NLNT		WT	BG-11	CO2				aerobic			42C			log	730.0	0.05	white		2000		True	True	True	HLHT:WT_HLHT	True
SRX15630047	SRR19578219	2023-02-09 02:22:41	2022-06-08 10:20:10	4276897.0	1283069100.0	4276897.0	300.0	404.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19578/SRR19578219/SRR19578219.lite.1	WT_HTL3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329989	SAMN28911410	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	WT_HTL3							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	E4525B4C8C2B23CCF2AB934516E30998	F55AE4152B4594737B27389F8736216E				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	WT	HLHT	WT_HLHT	WT_NLNT		WT	BG-11	CO2				aerobic			42C			log	730.0	0.05	white		2000		True	True	True	HLHT:WT_HLHT	True
SRX15630048	SRR19578218	2023-02-09 02:22:41	2022-06-08 10:19:40	3924154.0	1177246200.0	3924154.0	300.0	352.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19578/SRR19578218/SRR19578218.lite.1	WT_NTL1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP379051	PRJNA847037		847037.0	SRS13329990	SAMN28911411	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	WT_NTL1							no					QINGDAO INSTITUTE OF BIOENERGY AND BIOPROCESS TECHNOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1433566		public	D293223D01C7C3C4B0823D52E858513E	8CE3F701B4EA484D94C670EE4216F731				https://www.nature.com/articles/s41467-023-36964-5	PCC 7942	WT	HLHT	WT_NLNT	WT_NLNT		WT	BG-11	CO2				aerobic			30C			log	730.0	0.05	white		500		True	True	True	HLHT:WT_NLNT	True
SRX15947806	SRR19905021	2022-11-04 14:55:57	2022-06-29 23:20:08	9537648.0	972840096.0	9537648.0	102.0	285.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905021/SRR19905021.lite.1	PAL60_15m_UV_R1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634671	SAMN29425846	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL60_15m_UV_R1							no					UCSD	SRA1446442		public	5247DE4724E87E3A2BF1C4934B4C3BC8	AEDF5678E539624BCAB6437D29B3ADA9				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	UV15m	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3	UV lamp	1 mW/cm2	160		True	True	True	UVR:UV15m	True
SRX15947808	SRR19905019	2022-11-04 14:55:57	2022-06-29 23:20:40	12616750.0	1286908500.0	12616750.0	102.0	380.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19905/SRR19905019/SRR19905019.lite.1	PAL62_15m_UV_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634673	SAMN29425848	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL62_15m_UV_R2							no					UCSD	SRA1446442		public	30742B24ED5E9A7DCD4BF8EEEB5644F1	492FADD2EC0D11F4A3D36C9A52EF1E67				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	UV15m	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3	UV lamp	1 mW/cm2	160		True	True	True	UVR:UV15m	True
SRX15947809	SRR19905018	2022-11-04 14:55:57	2022-06-29 23:18:52	9087374.0	926912148.0	9087374.0	102.0	273.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19905/SRR19905018/SRR19905018.lite.1	PAL63_15m_C_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634674	SAMN29425849	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL63_15m_C_R2							no					UCSD	SRA1446442		public	4D5B000706BB0501A421105EFD3FBBA9	8E645105B90412FB8AFD37F3422BDC64				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	Ctrl_15m	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3			160		True	True	True	UVR:Ctrl_15m	True
SRX15947810	SRR19905017	2022-11-04 14:55:57	2022-06-29 23:20:20	11349970.0	1157696940.0	11349970.0	102.0	341.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905017/SRR19905017.lite.1	PAL64_15m_UV_R3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634675	SAMN29425850	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL64_15m_UV_R3							no					UCSD	SRA1446442		public	E6342016B4FBE88D151F1DE6314B05F6	53BACADBCA1367A6E529D644F6530D39				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	UV15m	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3	UV lamp	1 mW/cm2	160		True	True	True	UVR:UV15m	True
SRX15947812	SRR19905015	2022-11-04 14:55:57	2022-06-29 23:19:47	11690204.0	1192400808.0	11690204.0	102.0	353.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905015/SRR19905015.lite.1	PAL65_15m_C_R3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634677	SAMN29425851	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL65_15m_C_R3							no					UCSD	SRA1446442		public	EDBE390B143D03A397D8387C2770825D	422FACB9652E6F8774B7548EA7699C42				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	Ctrl_15m	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3			160		True	True	True	UVR:Ctrl_15m	True
SRX15947813	SRR19905014	2022-11-04 14:55:57	2022-06-29 23:19:10	10203070.0	1040713140.0	10203070.0	102.0	308.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905014/SRR19905014.lite.1	PAL66_2h_C_R1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634678	SAMN29425852	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL66_2h_C_R1							no					UCSD	SRA1446442		public	613541A64EAA57B8E8E824D9E262B237	5D9663B6792F2E5C47157A9E1CD30CB0				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	Ctrl_2h	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3			160		True	True	True	UVR:Ctrl_2h	True
SRX15947814	SRR19905013	2022-11-04 14:55:57	2022-06-29 23:18:15	9519981.0	971038062.0	9519981.0	102.0	288.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19905/SRR19905013/SRR19905013.lite.1	PAL67_2h_C_R2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP384271	PRJNA854269		854269.0	SRS13634679	SAMN29425853	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	PAL67_2h_C_R2							no					UCSD	SRA1446442		public	39674E6C4CC1715289F935110CFE816A	C0935AB1F53D753FC85CD967CAD31D21				https://www.pnas.org/doi/full/10.1073/pnas.2211789119			UVR	Ctrl_2h	Ctrl_15m		WT	BG-11					aerobic				three 12h light, 12h dark cycle and 6h UVR period		log	750.0	0.3			160		True	True	True	UVR:Ctrl_2h	True
SRX18913104	SRR22956187	2023-01-08 00:00:08	2023-01-03 11:46:03	9618997.0	2885699100.0	9618997.0	300.0	906.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956187/SRR22956187.1	GSM6914144	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340932	SAMN32542773	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914144							no					TIANJIN UNIVERSITY	SRA1568218		public	F74169B54BFBA37A579E9F5A9C17FD27	1BCF4A48B293BA9F5366816E87A348FA				36819058	PCC 7942	WT	salt_1	WT_0mM_NaCl	WT_0mM_NaCl		WT	BG-11								37C				750.0				100		True	True	True	salt_1:WT_0mM_NaCl	True
SRX18913105	SRR22956186	2023-01-08 00:00:08	2023-01-03 11:46:42	11029435.0	3308830500.0	11029435.0	300.0	1036.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956186/SRR22956186.1	GSM6914145	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340933	SAMN32542772	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914145							no					TIANJIN UNIVERSITY	SRA1568218		public	F197EB1CD768CA44706F702638F6BBD6	476C26A4E14BB0FBD464179A73B43B21				36819058	PCC 7942	WT	salt_1	WT_0mM_NaCl	WT_0mM_NaCl		WT	BG-11								37C				750.0				100		True	True	True	salt_1:WT_0mM_NaCl	True
SRX18913106	SRR22956185	2023-01-08 00:00:08	2023-01-03 11:45:27	8872721.0	2661816300.0	8872721.0	300.0	833.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956185/SRR22956185.1	GSM6914146	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340934	SAMN32542771	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914146							no					TIANJIN UNIVERSITY	SRA1568218		public	1179AAB323A32673CC24788A773C99AC	95EB12CC8BF0A6A7E58B0142C34D586E				36819058	PCC 7942	WT	salt_1	WT_0mM_NaCl	WT_0mM_NaCl		WT	BG-11								37C				750.0				100		True	True	True	salt_1:WT_0mM_NaCl	True
SRX18913107	SRR22956184	2023-01-08 00:00:08	2023-01-03 11:46:30	9463197.0	2838959100.0	9463197.0	300.0	896.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956184/SRR22956184.1	GSM6914147	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340935	SAMN32542770	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914147							no					TIANJIN UNIVERSITY	SRA1568218		public	D1A7F2F3F3857864F43E23494FAE3A37	23B8F3895597E2CC1BA0CDC018F65673				36819058	PCC 7942	WT	salt_2	WT_300mM_NaCl	WT_300mM_NaCl		WT	BG-11								37C				750.0				100		True	True	True	salt_2:WT_300mM_NaCl	True
SRX18913108	SRR22956183	2023-01-08 00:00:08	2023-01-03 11:47:19	10178332.0	3053499600.0	10178332.0	300.0	961.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956183/SRR22956183.1	GSM6914148	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340936	SAMN32542769	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914148							no					TIANJIN UNIVERSITY	SRA1568218		public	8362B044EC100024D03B53F3B3D43AA7	7AD1181AF01FFDE1754B9B1EF1537E92				36819058	PCC 7942	WT	salt_2	WT_300mM_NaCl	WT_300mM_NaCl		WT	BG-11								37C				750.0				100		True	True	True	salt_2:WT_300mM_NaCl	True
SRX18913109	SRR22956182	2023-01-08 00:00:08	2023-01-03 11:46:40	11553250.0	3465975000.0	11553250.0	300.0	1086.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956182/SRR22956182.1	GSM6914149	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340937	SAMN32542768	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914149							no					TIANJIN UNIVERSITY	SRA1568218		public	30B0CB8DB5A2643A08445F4C969AEAEE	EFFB7C939AC9A8304FA394C30E1484BB				36819058	PCC 7942	WT	salt_2	WT_300mM_NaCl	WT_300mM_NaCl		WT	BG-11								37C				750.0				100		True	True	True	salt_2:WT_300mM_NaCl	True
SRX18913110	SRR22956181	2023-01-08 00:00:08	2023-01-03 11:44:57	8619952.0	2585985600.0	8619952.0	300.0	808.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956181/SRR22956181.1	GSM6914150	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340938	SAMN32542767	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914150							no					TIANJIN UNIVERSITY	SRA1568218		public	276E5C6AF4C319C95BB9372E19456CD1	100DECA9C9BC813F60F549B00E2CE87B				36819058	PCC 7942	del_sps_ect	salt_1	del_sps_ect_0mM_NaCl	WT_0mM_NaCl		Synpcc7942_0808 locus knocked into ectABC	BG-11							25mg/L chloramphenicol	37C				750.0				100		True	True	True	salt_1:del_sps_ect_0mM_NaCl	True
SRX18913111	SRR22956180	2023-01-08 00:00:08	2023-01-03 11:45:10	8911501.0	2673450300.0	8911501.0	300.0	841.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22956/SRR22956180/SRR22956180.1	GSM6914151	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	Illumina NovaSeq 6000	SRP415570	PRJNA917560		917560.0	SRS16340939	SAMN32542766	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6914151							no					TIANJIN UNIVERSITY	SRA1568218		public	95F80E8D8E4F2910E9FF7E5D25876CF6	715E693CA977A926583053EBBD47D17F				36819058	PCC 7942	del_sps_ect	salt_1	del_sps_ect_0mM_NaCl	WT_0mM_NaCl		Synpcc7942_0808 locus knocked into ectABC	BG-11							25mg/L chloramphenicol	37C				750.0				100		True	True	True	salt_1:del_sps_ect_0mM_NaCl	True
